scenario,seed,design_reserve_MOI,design_reserve_PASI,payment_MOI,payment_PASI,pps_MOI,pps_PASI,coverage_MOI,coverage_PASI,qualified_coverage_MOI,qualified_coverage_PASI,mean_quality_MOI,mean_quality_PASI,assigned_MOI,assigned_PASI,qualified_MOI,qualified_PASI,payment_saving_percent,pps_saving_percent,decision_fee_saving_percent,decision_fee_per_service_MOI,decision_fee_per_service_PASI,decision_fee_per_service_saving_percent,coverage_delta_pp,qualified_coverage_delta_pp,mean_quality_delta
dynamic,15,29561.55194167888,25481.775024090628,29575.9271199058,25481.775024090628,0.5906090045311381,0.5088518686041622,0.8346166666666667,0.8346166666666667,0.8346166666666667,0.8346166666666667,0.8911452388086369,0.890786458579818,50077,50077,50077,50077,13.842852936500645,13.842852936500645,13.800956477647471,0.590321943041294,0.5088518686041622,13.800956477647464,0.0,0.0,-0.00035878022881896676
dynamic,16,28008.736866343155,23638.348205578848,28021.31131327908,23638.348205578848,0.5590621147056997,0.4716162205334753,0.8353666666666667,0.8353666666666667,0.8353666666666667,0.8353666666666667,0.892171177403821,0.89189341051672,50122,50122,50122,50122,15.64153461163389,15.64153461163389,15.603662105933836,0.5588112379063715,0.4716162205334753,15.603662105933834,0.0,0.0,-0.0002777668871010164
dynamic,17,31044.27066801059,26498.13299812735,31059.622051727318,26498.13299812735,0.6212545664911954,0.5300156615286998,0.83325,0.83325,0.83325,0.83325,0.8915069947433967,0.8911119912973584,49995,49995,49995,49995,14.686234900100118,14.686234900100105,14.644047265596699,0.620947508111023,0.5300156615286998,14.644047265596702,0.0,0.0,-0.00039500344603826676
dynamic,18,31840.96796847004,27519.19020532124,31856.511278897706,27519.19020532124,0.6359727551635564,0.5493839253622654,0.83485,0.83485,0.83485,0.83485,0.8918275855717364,0.8914308410171873,50091,50091,50091,50091,13.615179124933183,13.615179124933192,13.573009989609497,0.6356624537036601,0.5493839253622654,13.57300998960951,0.0,0.0,-0.00039674455454907775
dynamic,19,29302.118447627094,24905.223063672947,29312.816267188133,24905.223063672947,0.5861625393374686,0.4980247773090895,0.8334666666666667,0.8334666666666667,0.8334666666666667,0.8334666666666667,0.8911212856464098,0.8908753479520337,50008,50008,50008,50008,15.036403064583427,15.036403064583423,15.005383968442084,0.5859486171737941,0.4980247773090895,15.005383968442084,0.0,0.0,-0.00024593769437608604
dynamic,20,28429.94024317088,24085.415312495163,28442.104899015325,24085.415312495163,0.5676726922343038,0.4807180271140483,0.83505,0.83505,0.83505,0.83505,0.892202285715526,0.8918796697803586,50103,50103,50103,50103,15.31774670682335,15.317746706823346,15.281512706377603,0.5674298992709195,0.4807180271140483,15.281512706377598,0.0,0.0,-0.00032261593516735854
dynamic,21,31267.189568863367,26534.549005895875,31281.595672266383,26534.549005895875,0.6260826929842763,0.5310733529320285,0.8327333333333333,0.8327333333333333,0.8327333333333333,0.8327333333333333,0.8918696033598197,0.8915270870743992,49964,49964,49964,49964,15.175206265386077,15.175206265386082,15.136123931267463,0.625794363318857,0.5310733529320285,15.136123931267479,0.0,0.0,-0.00034251628542047996
dynamic,22,30313.243586743756,26164.746217225213,30327.32639447393,26164.746217225213,0.6065950554939181,0.5233367912878073,0.8332666666666667,0.8332666666666667,0.8332666666666667,0.8332666666666667,0.8917795984060827,0.8914247333099276,49996,49996,49996,49996,13.725509868905553,13.72550986890555,13.68542880489608,0.6063133768050195,0.5233367912878073,13.685428804896071,0.0,0.0,-0.0003548650961551214
dynamic,23,31848.36588887591,27394.251842574253,31865.32434393156,27394.251842574253,0.6340853333850351,0.5451158483419082,0.8375666666666667,0.8375666666666667,0.8375666666666667,0.8375666666666667,0.891316611841403,0.8909260274930996,50254,50254,50254,50254,14.031153278403014,14.031153278403002,13.985377026384272,0.6337478785544615,0.5451158483419082,13.985377026384262,0.0,0.0,-0.00039058434830341326
dynamic,24,30123.3448061508,25303.87981541608,30139.42541100056,25303.87981541608,0.6022825908437024,0.505652847916072,0.8340333333333333,0.8340333333333333,0.8340333333333333,0.8340333333333333,0.8917217618078896,0.8913040390655348,50042,50042,50042,50042,16.043920976076603,16.043920976076603,15.999103093460747,0.6019612486741297,0.5056528479160721,15.999103093460738,0.0,0.0,-0.0004177227423548535
dynamic,25,30690.26571681425,25679.10217194021,30706.373913726835,25679.10217194021,0.6147176071774271,0.5140755559725378,0.8325333333333333,0.8325333333333333,0.8325333333333333,0.8325333333333333,0.8918490294100375,0.8914623459283224,49952,49952,49952,49952,16.37207882608131,16.37207882608131,16.32818559185227,0.6143951336646031,0.5140755559725378,16.32818559185227,0.0,0.0,-0.000386683481715111
