cell_id,seed,method,original_stage,workload,magnitude,duration,heterogeneity,qos,assigned,tasks,payment,pps,coverage,qualified_coverage,quality_violations,deadline_violations,qos_violations,qos_violation_rate,target_violations,ir_violations,design_reserve,reserve_over_budget_slots,settlement_over_reserve_slots,settlement_over_budget_slots,diagnostic_status,execution_status,instrumented_runtime_s,candidate_graph_sha256,window_phase_sha256,config_sha256
E7C004,6,MOI,screening,high,0.0,5,high,strict,2203,3531,599.2768272151831,0.27202761108269774,0.6239025771736052,0.6239025771736052,0,0,0,0.0,0,0,599.2768272151831,0,0,0,ok,completed,3.813916999999492,2e819b4fd88809fe30a8e26b180554e99e1dc9845ddda4dd3314189e44d73369,b686317ba1a6e585f4fafcf8623be963a470380fad24127d76e6ba6a18026cd4,6535986ff0626021f8dc9eaf948a3ae66dad4846dceeb9431b5aea3b680a606c
E7C004,6,PASI,screening,high,0.0,5,high,strict,2203,3531,599.2768272151831,0.27202761108269774,0.6239025771736052,0.6239025771736052,0,0,0,0.0,0,0,599.2768272151831,0,0,0,ok,completed,3.7459232000001066,2e819b4fd88809fe30a8e26b180554e99e1dc9845ddda4dd3314189e44d73369,b686317ba1a6e585f4fafcf8623be963a470380fad24127d76e6ba6a18026cd4,6535986ff0626021f8dc9eaf948a3ae66dad4846dceeb9431b5aea3b680a606c
E7C004,7,MOI,screening,high,0.0,5,high,strict,2174,3531,488.1480486975911,0.22453912083605845,0.615689606343812,0.615689606343812,0,0,0,0.0,0,0,488.1480486975911,0,0,0,ok,completed,3.823110799999995,a4a74c297dd7facbcadc3f2bfea242294af7bea2cb4a29c627d99e29a9dfb6e7,9ec08ecc0cb27e9bf90bde3fee64591dc1a2f37d471945ce53e7984e871d118d,db707231c010797fcc9c3062639beadf0a1bf7293df39e1607799dc2bbcbf1fd
E7C004,7,PASI,screening,high,0.0,5,high,strict,2174,3531,488.1480486975911,0.22453912083605845,0.615689606343812,0.615689606343812,0,0,0,0.0,0,0,488.1480486975911,0,0,0,ok,completed,3.937076700000034,a4a74c297dd7facbcadc3f2bfea242294af7bea2cb4a29c627d99e29a9dfb6e7,9ec08ecc0cb27e9bf90bde3fee64591dc1a2f37d471945ce53e7984e871d118d,db707231c010797fcc9c3062639beadf0a1bf7293df39e1607799dc2bbcbf1fd
E7C004,8,MOI,screening,high,0.0,5,high,strict,2209,3531,671.6784929269065,0.30406450562558013,0.6256018125177004,0.6256018125177004,0,0,0,0.0,0,0,671.6784929269065,0,0,0,ok,completed,3.8082590999993045,2e4d842490f744be05f504ad4e589f453696f55663201363d55bb7b564314928,a74c70608042d200f55c80a63d4533bc2b4006310e1bcb6e243189d27ced1990,c0600cbdf1ad82409de35e91df19723598520658eca4deff6c7667eacf2c7a7f
E7C004,8,PASI,screening,high,0.0,5,high,strict,2209,3531,671.6784929269065,0.30406450562558013,0.6256018125177004,0.6256018125177004,0,0,0,0.0,0,0,671.6784929269065,0,0,0,ok,completed,3.843622000000323,2e4d842490f744be05f504ad4e589f453696f55663201363d55bb7b564314928,a74c70608042d200f55c80a63d4533bc2b4006310e1bcb6e243189d27ced1990,c0600cbdf1ad82409de35e91df19723598520658eca4deff6c7667eacf2c7a7f
E7C004,9,MOI,screening,high,0.0,5,high,strict,2198,3531,784.5642663669214,0.3569446161814929,0.6224865477201926,0.6224865477201926,0,0,0,0.0,0,0,784.5642663669214,0,0,0,ok,completed,4.020062100000359,05644c349dadd2679e3020242271f6c70707fe1f74822a0aab58fe3b5ac86b1b,eef667784ad4220f13e2bea32305373753967c565a0d07c5df8ffd696fe9ad56,65990ac06c168c279b4ba61d7ed197a30b916c55f66afce3f0bf764be75794c5
E7C004,9,PASI,screening,high,0.0,5,high,strict,2198,3531,784.5642663669214,0.3569446161814929,0.6224865477201926,0.6224865477201926,0,0,0,0.0,0,0,784.5642663669214,0,0,0,ok,completed,4.056493000000046,05644c349dadd2679e3020242271f6c70707fe1f74822a0aab58fe3b5ac86b1b,eef667784ad4220f13e2bea32305373753967c565a0d07c5df8ffd696fe9ad56,65990ac06c168c279b4ba61d7ed197a30b916c55f66afce3f0bf764be75794c5
E7C004,10,MOI,screening,high,0.0,5,high,strict,2208,3531,580.8257198278392,0.2630551267336228,0.6253186066270179,0.6253186066270179,0,0,0,0.0,0,0,580.8257198278392,0,0,0,ok,completed,4.017222800000127,ae2f818058c1f2abf5435b1a214d3adaed90fbe8b8524612ee7f9075b830725b,a7bbcf26013098e02fff4a279a492c8db368cc93c6dd20a5b06fe9ddb0e31d7c,41e5fdf1f571600f7de577c10b5aa8337b1bdb242118920b14b68f4376adce4c
E7C004,10,PASI,screening,high,0.0,5,high,strict,2208,3531,580.8257198278392,0.2630551267336228,0.6253186066270179,0.6253186066270179,0,0,0,0.0,0,0,580.8257198278392,0,0,0,ok,completed,4.0099844999995184,ae2f818058c1f2abf5435b1a214d3adaed90fbe8b8524612ee7f9075b830725b,a7bbcf26013098e02fff4a279a492c8db368cc93c6dd20a5b06fe9ddb0e31d7c,41e5fdf1f571600f7de577c10b5aa8337b1bdb242118920b14b68f4376adce4c
E7C004,11,MOI,confirmation,high,0.0,5,high,strict,2157,3531,624.975194675538,0.2897427884448484,0.610875106202209,0.610875106202209,0,0,0,0.0,0,0,624.975194675538,0,0,0,ok,completed,3.9419639999996434,1dc5d8d83c4ff7f26667a371d655b4dba6d74adf688f0f6888c0ba104d87df45,70be73f529444ad3e9e969621d5b61947f2e1dcf4d389103ab5d578b4bfd63b6,de8adf6c1c0fef2cf4a85a1e296409cc5a60db9a5adf4674ed775b2644f4bae3
E7C004,11,PASI,confirmation,high,0.0,5,high,strict,2157,3531,624.975194675538,0.2897427884448484,0.610875106202209,0.610875106202209,0,0,0,0.0,0,0,624.975194675538,0,0,0,ok,completed,3.8981321999999636,1dc5d8d83c4ff7f26667a371d655b4dba6d74adf688f0f6888c0ba104d87df45,70be73f529444ad3e9e969621d5b61947f2e1dcf4d389103ab5d578b4bfd63b6,de8adf6c1c0fef2cf4a85a1e296409cc5a60db9a5adf4674ed775b2644f4bae3
E7C004,12,MOI,confirmation,high,0.0,5,high,strict,2197,3531,716.1412597359486,0.3259632497660212,0.6222033418295101,0.6222033418295101,0,0,0,0.0,0,0,716.1412597359486,0,0,0,ok,completed,3.7786816000007093,141971c4c9f87dcd134fd815fdf20a03c64a66303785cd229689f296e00e5f36,4e57bc746498f13ad87f14a5ce4ebd6d2b03342b00c3b58632248cfd44002853,e84ea8779327a7d7dd423c973f604a2d0c28935f12a574e6c0ea6197289b9994
E7C004,12,PASI,confirmation,high,0.0,5,high,strict,2197,3531,716.1412597359486,0.3259632497660212,0.6222033418295101,0.6222033418295101,0,0,0,0.0,0,0,716.1412597359486,0,0,0,ok,completed,3.809528099999625,141971c4c9f87dcd134fd815fdf20a03c64a66303785cd229689f296e00e5f36,4e57bc746498f13ad87f14a5ce4ebd6d2b03342b00c3b58632248cfd44002853,e84ea8779327a7d7dd423c973f604a2d0c28935f12a574e6c0ea6197289b9994
