workload,seed,method,tasks,assigned,qualified,coverage,qualified_coverage,payment,pps,mean_quality,high_quality_rate,platform_utility,quality_violations,deadline_violations,qos_violations,qos_violation_rate,target_violations,ir_violations,design_reserve,available_budget,slots_reserve_exceeds_budget,slots_settlement_exceeds_reserve,slots_settlement_exceeds_budget,candidate_rows,spatial_candidate_rows,legal_rows,spatial_graph_sha256,config_sha256,mean_runtime_state,diagnostic_status,instrumented_runtime_s,core_protocol_version,decision_cost_basis
high,21,PASI,3531,2509,2509,0.7105635797224582,0.7105635797224582,728.9453611061978,0.2905322284201665,0.8657799135955143,0.8589079314467916,5832.01111383271,0,0,0,0.0,0,0,728.9453611061978,7910.357966945778,0,0,0,23496,6868,6191,940b178c7b38e471cbb656ebd731152dde5e08e998c076ff334e990775a3472b,c33fa39e01fc584f017e3c53ebf9a1cb0168f9c85e0bd17f3f61d3cb2b110a49,0.8124445552149994,ok,3.7069642999995267,r51-free-action-design-only-v1,design_expected_payment
high,22,MOI,3531,2487,2487,0.7043330501274426,0.7043330501274426,931.9459090781368,0.3747269437386959,0.866267718483697,0.8685162846803377,5593.642401975516,0,0,0,0.0,0,0,931.9459090781368,7946.696385720679,0,0,0,23496,6895,6100,ebc049bc3ed5762b2c1a5be3458dec329584f31240d81ca06af4d790e3beaaab,464506d8b135488afabfdc7aa384f213cadb8545fa8ff91f1138cfe5ec39bc7c,0.8007616859726011,ok,3.623730400002387,r51-free-action-design-only-v1,design_expected_payment
high,22,PASI,3531,2487,2487,0.7043330501274426,0.7043330501274426,825.9420445209716,0.3321037573465909,0.8665123708574209,0.8693204664254122,5694.285604381339,0,0,0,0.0,0,0,825.9420445209716,7946.696385720679,0,0,0,23496,6895,6100,ebc049bc3ed5762b2c1a5be3458dec329584f31240d81ca06af4d790e3beaaab,464506d8b135488afabfdc7aa384f213cadb8545fa8ff91f1138cfe5ec39bc7c,0.8004256343925591,ok,3.6827341000025626,r51-free-action-design-only-v1,design_expected_payment
high,23,MOI,3531,2468,2468,0.6989521382044747,0.6989521382044747,951.1393638243999,0.38538872116061584,0.8645782696241221,0.8553484602917342,5546.744581697387,0,0,0,0.0,0,0,951.1393638243999,8037.4596738530945,0,0,0,23496,6936,6028,d28ab22677248eb1ad0ab57f4e02a0ff68213b82a56fc9b0b34f2e9e57ed45a9,fa69f5e1da76932012117bf621d2c8a1a7eea87806ba72ae3cf5535bcc782856,0.8180213835316552,ok,3.580940299994836,r51-free-action-design-only-v1,design_expected_payment
high,23,PASI,3531,2468,2468,0.6989521382044747,0.6989521382044747,849.7192689118771,0.34429467946186265,0.8648025054958176,0.8561588330632091,5641.863707611678,0,0,0,0.0,0,0,849.7192689118771,8037.4596738530945,0,0,0,23496,6936,6028,d28ab22677248eb1ad0ab57f4e02a0ff68213b82a56fc9b0b34f2e9e57ed45a9,fa69f5e1da76932012117bf621d2c8a1a7eea87806ba72ae3cf5535bcc782856,0.8179042675125374,ok,3.519112199996016,r51-free-action-design-only-v1,design_expected_payment
high,24,MOI,3531,2489,2489,0.7048994619088077,0.7048994619088077,889.9063164052538,0.3575356835698087,0.8650257157189225,0.8545600642828445,5629.981070986329,0,0,0,0.0,0,0,889.9063164052538,7969.514666962631,0,0,0,23496,7024,6202,7094662f329ba50eb687cdc22e50f25624d0f8e44dd6857a7288afdcf6187ab0,34f903ee3668b970e5c9ca0136414a0c26ed24e9fef2ecfa9e26abb25c28ce9d,0.8198000851516738,ok,3.590161200001603,r51-free-action-design-only-v1,design_expected_payment
high,24,PASI,3531,2489,2489,0.7048994619088077,0.7048994619088077,753.0707621568665,0.30255956695735897,0.8652229977140948,0.8553635998392929,5762.192032315021,0,0,0,0.0,0,0,753.0707621568665,7969.514666962631,0,0,0,23496,7024,6202,7094662f329ba50eb687cdc22e50f25624d0f8e44dd6857a7288afdcf6187ab0,34f903ee3668b970e5c9ca0136414a0c26ed24e9fef2ecfa9e26abb25c28ce9d,0.8194926574534857,ok,3.639107900002273,r51-free-action-design-only-v1,design_expected_payment
high,25,MOI,3531,2515,2515,0.7122628150665534,0.7122628150665534,925.7776640299825,0.3681024509065537,0.8665117398372786,0.8751491053677932,5665.194361928776,0,0,0,0.0,0,0,925.7776640299825,7940.50582846756,0,0,0,23496,6977,6211,d34d66fcf1043b074a249930f85f8c49f6195cfedfa3cb58caab3d3f1b8cc21b,1b4900dfbc1e6d91fe3264cc57c0d185ce475d502b85d594bbad676d1c623057,0.8295707583091824,ok,3.6301313000003574,r51-free-action-design-only-v1,design_expected_payment
high,25,PASI,3531,2515,2515,0.7122628150665534,0.7122628150665534,811.1402686445726,0.3225209815684185,0.8669435996397937,0.8767395626242545,5772.751751492738,0,0,0,0.0,0,0,811.1402686445726,7940.50582846756,0,0,0,23496,6977,6211,d34d66fcf1043b074a249930f85f8c49f6195cfedfa3cb58caab3d3f1b8cc21b,1b4900dfbc1e6d91fe3264cc57c0d185ce475d502b85d594bbad676d1c623057,0.829528478280884,ok,3.6745991999996477,r51-free-action-design-only-v1,design_expected_payment
high,26,MOI,3531,2487,2487,0.7043330501274426,0.7043330501274426,870.8445260700973,0.3501586353317641,0.8672627097840178,0.87535182951347,5661.176829214485,0,0,0,0.0,0,0,870.8445260700973,7951.688366251775,0,0,0,23496,6977,6220,4b076f89f78f349a7487f49ad4adc27f30202e18a5712cf89245e2a81d6d62b7,362f7a757fa82cab15cfbcbc5db25f8e4cb3bcdc80489f8e72812c78633444aa,0.8246943052762286,ok,3.7347910000025877,r51-free-action-design-only-v1,design_expected_payment
