scenario,seed,variant,assigned,tasks,coverage,design_reserve,execution_settlement,design_pps,settlement_pps,mean_H,coverage_first_calls,ir_violations,target_violations
burst,26,NO_POSITIVE_ACCUMULATION,54752,68800,0.7958139534883721,32532.45641597113,32532.45641597113,0.5941784120392155,0.5941784120392155,0.06660756473462172,1000,0,0
burst,27,FROZEN_STATE,54974,68800,0.7990406976744187,30608.78851016188,30608.78851016188,0.5567866356852672,0.5567866356852672,0.09999999999999999,1000,0,0
burst,27,FULL_PASI,54974,68800,0.7990406976744187,26174.248851060627,26174.248851060627,0.4761205088052648,0.4761205088052648,0.915460205786829,1000,0,0
burst,27,MOI,54974,68800,0.7990406976744187,31113.034773278916,31125.95545037477,0.5659590856273677,0.5661941181353871,0.9152932711819842,1000,0,0
burst,27,NO_NEGATIVE_FEEDBACK,54974,68800,0.7990406976744187,26067.606342160772,26067.606342160772,0.4741806370677188,0.4741806370677188,0.9383046319647512,1000,0,0
burst,27,NO_POSITIVE_ACCUMULATION,54974,68800,0.7990406976744187,30792.228557433144,30792.228557433144,0.5601234866924936,0.5601234866924936,0.06715948073030101,1000,0,0
burst,28,FROZEN_STATE,54769,68800,0.7960610465116279,30836.371307419926,30836.371307419926,0.563026005722579,0.563026005722579,0.09999999999999999,1000,0,0
burst,28,FULL_PASI,54769,68800,0.7960610465116279,26471.94129880298,26471.94129880298,0.4833380433968665,0.4833380433968665,0.9172858189980498,1000,0,0
burst,28,MOI,54769,68800,0.7960610465116279,31325.496218146298,31341.648017495732,0.5719566948117786,0.572251602503163,0.9180220369298832,1000,0,0
burst,28,NO_NEGATIVE_FEEDBACK,54769,68800,0.7960610465116279,26373.779529515377,26373.779529515377,0.4815457563496755,0.4815457563496755,0.9393208030917174,1000,0,0
burst,28,NO_POSITIVE_ACCUMULATION,54769,68800,0.7960610465116279,31010.72501322389,31010.72501322389,0.5662094435396646,0.5662094435396646,0.06730104204408464,1000,0,0
burst,29,FROZEN_STATE,54679,68800,0.7947529069767442,27170.400824304845,27170.400824304845,0.49690742011201455,0.49690742011201455,0.09999999999999999,1000,0,0
burst,29,FULL_PASI,54679,68800,0.7947529069767442,22752.902615272065,22752.902615272065,0.4161177529814383,0.4161177529814383,0.9189226283016175,1000,0,0
burst,29,MOI,54679,68800,0.7947529069767442,27676.529212762216,27688.505909176827,0.5061637779177054,0.506382814410959,0.9192981077587881,1000,0,0
burst,29,NO_NEGATIVE_FEEDBACK,54679,68800,0.7947529069767442,22654.74889689513,22654.74889689513,0.41432266312286486,0.41432266312286486,0.9404693167920127,1000,0,0
burst,29,NO_POSITIVE_ACCUMULATION,54679,68800,0.7947529069767442,27348.670523900968,27348.670523900968,0.5001677156477069,0.5001677156477069,0.06742125295741432,1000,0,0
burst,30,FROZEN_STATE,54612,68800,0.7937790697674418,31973.182450022487,31973.182450022487,0.585460749469393,0.585460749469393,0.09999999999999998,1000,0,0
burst,30,FULL_PASI,54612,68800,0.7937790697674418,27236.121471889455,27236.121471889455,0.49872045469657683,0.49872045469657683,0.9174852919854923,1000,0,0
burst,30,MOI,54612,68800,0.7937790697674418,32509.906871206644,32523.917359436004,0.5952887070828141,0.5955452530476086,0.9169752466613256,1000,0,0
burst,30,NO_NEGATIVE_FEEDBACK,54612,68800,0.7937790697674418,27138.076162092766,27138.076162092766,0.4969251476249316,0.4969251476249316,0.9394710471403759,1000,0,0
burst,30,NO_POSITIVE_ACCUMULATION,54612,68800,0.7937790697674418,32170.155684344863,32170.155684344863,0.5890675251656204,0.5890675251656204,0.06681923422340029,1000,0,0
dynamic,1,FROZEN_STATE,50114,60000,0.8352333333333334,31315.240583128947,31315.240583128947,0.6248800850686225,0.6248800850686225,0.09999999999999999,1000,0,0
