workload,seed,method,N,M,tasks,assigned,qualified,payment,pps,service_coverage,mean_quality,qos_violations,qos_violation_rate,ir_violations,under_incentive_rate,target_violations,target_miss_rate,legal_edge_rate,platform_utility,mean_base_payment,negative_intercept_rate,core_runtime_s,instrumented_runtime_s,event_tape_hash,diagnostic_status,execution_status,decision_cost_basis,contract_protocol_version,design_reserve,available_budget,reserve_over_budget_slots,settlement_over_reserve_slots,settlement_over_budget_slots,candidate_rows,legal_rows,candidate_graph_sha256,config_sha256
high,11,MOI,34,4,3531,2474,2474,839.8290091155303,0.3394620085349759,0.7006513735485698,0.8660902065188866,0,0.0,0,0.0,0,0.0,0.2614487572352741,5646.249314602261,0.0,0.0,3.721252800001821,3.8303487000011955,c621a358acaebd178b39cb4ef11caf6f5a23200e6690d33bbc3f897bbd7ecd29,ok,completed,design_expected_payment,r51-free-action-design-only-v1,839.8290091155303,7950.017844416936,0,0,0,23496,6143,1dc5d8d83c4ff7f26667a371d655b4dba6d74adf688f0f6888c0ba104d87df45,6ea9b95f753a2417fcf72609d172e2efac35d15296c33f18585d1cc5e89eded4
high,11,PASI,34,4,3531,2474,2474,729.5281289101686,0.2948779825829299,0.7006513735485698,0.866267681828128,0,0.0,0,0.0,0,0.0,0.2614487572352741,5751.366959030035,0.0,0.0,3.880055400000856,4.008411300001171,c621a358acaebd178b39cb4ef11caf6f5a23200e6690d33bbc3f897bbd7ecd29,ok,completed,design_expected_payment,r51-free-action-design-only-v1,729.5281289101686,7950.017844416936,0,0,0,23496,6143,1dc5d8d83c4ff7f26667a371d655b4dba6d74adf688f0f6888c0ba104d87df45,6ea9b95f753a2417fcf72609d172e2efac35d15296c33f18585d1cc5e89eded4
high,11,QUAC-F,34,4,3531,2474,2474,234.35664260281598,0.09472782643606144,0.7006513735485698,0.8747336375431988,0,0.0,0,0.0,0,0.0,0.2614487572352741,6146.726899593365,-0.44240172176734405,1.0,3.517125300000771,3.649614999998448,c621a358acaebd178b39cb4ef11caf6f5a23200e6690d33bbc3f897bbd7ecd29,ok,completed,design_expected_payment,r51-free-action-design-only-v1,234.35664260281598,7950.017844416936,0,0,0,23496,6143,1dc5d8d83c4ff7f26667a371d655b4dba6d74adf688f0f6888c0ba104d87df45,6ea9b95f753a2417fcf72609d172e2efac35d15296c33f18585d1cc5e89eded4
high,12,MOI,34,4,3531,2504,2504,926.2356971141636,0.36990243494974584,0.7091475502690456,0.8699716559011024,0,0.0,0,0.0,0,0.0,0.2599591419816139,5592.7747634895495,0.0,0.0,3.471494999997958,3.594790600000124,00498703125fdc5b6b840f6fc8a6616121a0c232a959d4a64e3d013e19256c3c,ok,completed,design_expected_payment,r51-free-action-design-only-v1,926.2356971141636,7891.564101438458,0,0,0,23496,6108,141971c4c9f87dcd134fd815fdf20a03c64a66303785cd229689f296e00e5f36,8f8c1df2a96879196e04ccb110b7b6e237eeeb797618c5f284c4d3eba6e28638
high,12,PASI,34,4,3531,2504,2504,808.0558118871876,0.32270599516261483,0.7091475502690456,0.8702055058513908,0,0.0,0,0.0,0,0.0,0.2599591419816139,5705.522978437342,0.0,0.0,3.493635800001357,3.620897500000865,00498703125fdc5b6b840f6fc8a6616121a0c232a959d4a64e3d013e19256c3c,ok,completed,design_expected_payment,r51-free-action-design-only-v1,808.0558118871876,7891.564101438458,0,0,0,23496,6108,141971c4c9f87dcd134fd815fdf20a03c64a66303785cd229689f296e00e5f36,8f8c1df2a96879196e04ccb110b7b6e237eeeb797618c5f284c4d3eba6e28638
high,12,QUAC-F,34,4,3531,2504,2504,237.13908057326387,0.09470410566024914,0.7091475502690456,0.8779774638304962,0,0.0,0,0.0,0,0.0,0.2599591419816139,6185.469679708232,-0.4564520065442472,1.0,3.619318299999577,3.726717199999257,00498703125fdc5b6b840f6fc8a6616121a0c232a959d4a64e3d013e19256c3c,ok,completed,design_expected_payment,r51-free-action-design-only-v1,237.13908057326387,7891.564101438458,0,0,0,23496,6108,141971c4c9f87dcd134fd815fdf20a03c64a66303785cd229689f296e00e5f36,8f8c1df2a96879196e04ccb110b7b6e237eeeb797618c5f284c4d3eba6e28638
high,13,MOI,34,4,3531,2499,2499,1076.3539567702494,0.4307138682554019,0.707731520815633,0.8651784295794243,0,0.0,0,0.0,0,0.0,0.25893769152196117,5528.866823146263,0.0,0.0,3.681656100001419,3.8324045999979717,8ff3c0b2a4b5a982d6dd6705492fa1adab9149d08c75a16779720d3a95b27f9a,ok,completed,design_expected_payment,r51-free-action-design-only-v1,1076.3539567702494,8005.966816546171,0,0,0,23496,6084,9074fe90fcb9cc353470b45d003d201b6fcb043506454aab79686b78c76659f3,aa4a963b5212f1490d32e8c959ac48b8116b30546e261b72cad4b340bdc773ab
high,13,PASI,34,4,3531,2499,2499,982.5153170391442,0.39316339217252666,0.707731520815633,0.8653845897405121,0,0.0,0,0.0,0,0.0,0.25893769152196117,5615.922529380616,0.0,0.0,3.62180939999962,3.756707100001222,8ff3c0b2a4b5a982d6dd6705492fa1adab9149d08c75a16779720d3a95b27f9a,ok,completed,design_expected_payment,r51-free-action-design-only-v1,982.5153170391442,8005.966816546171,0,0,0,23496,6084,9074fe90fcb9cc353470b45d003d201b6fcb043506454aab79686b78c76659f3,aa4a963b5212f1490d32e8c959ac48b8116b30546e261b72cad4b340bdc773ab
high,13,QUAC-F,34,4,3531,2499,2499,234.27025521049143,0.0937456003243263,0.707731520815633,0.8731970519497215,0,0.0,0,0.0,0,0.0,0.25893769152196117,6275.116493887335,-0.45790862236738744,1.0,3.6851980999999796,3.838683599999058,8ff3c0b2a4b5a982d6dd6705492fa1adab9149d08c75a16779720d3a95b27f9a,ok,completed,design_expected_payment,r51-free-action-design-only-v1,234.27025521049143,8005.966816546171,0,0,0,23496,6084,9074fe90fcb9cc353470b45d003d201b6fcb043506454aab79686b78c76659f3,aa4a963b5212f1490d32e8c959ac48b8116b30546e261b72cad4b340bdc773ab
high,14,MOI,34,4,3531,2497,2497,831.9516507201864,0.33318047686030694,0.7071651090342679,0.8670147534540691,0,0.0,0,0.0,0,0.0,0.2559584610146408,5753.811485053767,0.0,0.0,4.020657499997469,4.149701999998797,5ad17a17c7a2cbfcb54ed58046d5e3b6beb9a5e2d7791d532d912294512965ef,ok,completed,design_expected_payment,r51-free-action-design-only-v1,831.9516507201864,7994.818562051611,0,0,0,23496,6014,27e53d29734b221c9bac3a41c68ba0d735e45a596930c2c9ca7853d54b2b9f75,3a60ddfbf016f31f35c7127046f755ce81f8cb4efb24ff2420a698a4567e78ec
