window,seed,scenario,profile,tasks,assigned,qualified,coverage,qualified_coverage,qos_violations,qos_violation_rate,ir_violations,target_violations,design_reserve,execution_payment,pps,settlement_over_reserve_slots,reserve_over_budget_slots,settlement_over_budget_slots,run_status,source,redistributable,config_sha256,preregistration_sha256,runner_sha256
w02,23,down_step,frozen_point,1864,1443,1165,0.7741416309012875,0.625,278,0.19265419265419265,0,0,496.94175675034677,472.1533918311915,0.3272026277416435,0,0,0,failed,geolife,False,e8b7d1501f0623cdb6bfdfab1843f9e7cecaa2a18bf28ea7a782c261f30dbe03,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w02,23,stable,fixed_envelope,1864,959,959,0.5144849785407726,0.5144849785407726,0,0.0,0,0,666.99134302727,644.8005371122454,0.6723676090847188,0,0,0,ok,geolife,False,4bf58c6706862668ad3aee0e71b7a1899780e9b429699a3148ba58238f62a204,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w02,23,stable,frozen_point,1864,1443,1443,0.7741416309012875,0.7741416309012875,0,0.0,0,0,495.73772325181784,495.73772325181784,0.3435465857600955,0,0,0,ok,geolife,False,e8b7d1501f0623cdb6bfdfab1843f9e7cecaa2a18bf28ea7a782c261f30dbe03,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w02,23,up_step,fixed_envelope,1864,959,959,0.5144849785407726,0.5144849785407726,0,0.0,0,0,666.7441269273743,655.4324621598653,0.683454079415918,0,0,0,ok,geolife,False,4bf58c6706862668ad3aee0e71b7a1899780e9b429699a3148ba58238f62a204,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w02,23,up_step,frozen_point,1864,1443,1443,0.7741416309012875,0.7741416309012875,0,0.0,0,726,495.4129150263994,502.4433759849352,0.3481936077511678,268,0,0,failed,geolife,False,e8b7d1501f0623cdb6bfdfab1843f9e7cecaa2a18bf28ea7a782c261f30dbe03,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w03,2,down_step,fixed_envelope,1486,777,777,0.5228802153432033,0.5228802153432033,0,0.0,0,0,473.92697495766595,442.65611761451294,0.5696989930688712,0,0,0,ok,geolife,False,77d4626d3a636ea766ede6deca0b08b265b9ec03c0db08aa4ff8a918730ce028,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w03,2,down_step,frozen_point,1486,1170,964,0.7873485868102288,0.648721399730821,206,0.17606837606837608,0,0,337.65789019282255,322.4187474515818,0.275571579018446,0,0,0,failed,geolife,False,83e464540e3de05d8f4349aa20dcc1535a1f74f14a0be670b7c7887f7f080792,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w03,2,stable,fixed_envelope,1486,777,777,0.5228802153432033,0.5228802153432033,0,0.0,0,0,473.46363804206584,458.3614176906191,0.5899117344795612,0,0,0,ok,geolife,False,77d4626d3a636ea766ede6deca0b08b265b9ec03c0db08aa4ff8a918730ce028,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w03,2,stable,frozen_point,1486,1170,1170,0.7873485868102288,0.7873485868102288,0,0.0,0,0,336.8080280702583,336.8080280702583,0.2878701094617592,0,0,0,ok,geolife,False,83e464540e3de05d8f4349aa20dcc1535a1f74f14a0be670b7c7887f7f080792,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w03,2,up_step,fixed_envelope,1486,777,777,0.5228802153432033,0.5228802153432033,0,0.0,0,0,473.26494909876607,465.09737604120414,0.5985809215459513,0,0,0,ok,geolife,False,77d4626d3a636ea766ede6deca0b08b265b9ec03c0db08aa4ff8a918730ce028,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w03,2,up_step,frozen_point,1486,1170,1170,0.7873485868102288,0.7873485868102288,0,0.0,0,559,336.5817542739069,340.9262518463544,0.2913899588430379,239,0,0,failed,geolife,False,83e464540e3de05d8f4349aa20dcc1535a1f74f14a0be670b7c7887f7f080792,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w03,11,down_step,fixed_envelope,1486,778,778,0.5235531628532974,0.5235531628532974,0,0.0,0,0,483.5826476865188,451.81964409838474,0.580745043828258,0,0,0,ok,geolife,False,677b669c2ceafebd675ea7d2736e365e1c7bab8c302e5a2451053e963c650aa6,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w03,11,down_step,frozen_point,1486,1176,972,0.7913862718707941,0.6541049798115747,204,0.17346938775510204,0,0,353.36674585485093,337.1712198548929,0.286710220965045,0,0,0,failed,geolife,False,20a27a3d0648033d128cbccaefdc7b6db162a3526210117d84492635c5718604,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w03,11,stable,fixed_envelope,1486,778,778,0.5235531628532974,0.5235531628532974,0,0.0,0,0,483.2121550330812,467.7654889386738,0.6012409883530512,0,0,0,ok,geolife,False,677b669c2ceafebd675ea7d2736e365e1c7bab8c302e5a2451053e963c650aa6,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w03,11,stable,frozen_point,1486,1176,1176,0.7913862718707941,0.7913862718707941,0,0.0,0,0,352.6545680159404,352.6545680159404,0.2998763333468881,0,0,0,ok,geolife,False,20a27a3d0648033d128cbccaefdc7b6db162a3526210117d84492635c5718604,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w03,11,up_step,fixed_envelope,1486,778,778,0.5235531628532974,0.5235531628532974,0,0.0,0,0,483.05344230313557,474.73512645481605,0.6101993913300977,0,0,0,ok,geolife,False,677b669c2ceafebd675ea7d2736e365e1c7bab8c302e5a2451053e963c650aa6,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w03,11,up_step,frozen_point,1486,1176,1176,0.7913862718707941,0.7913862718707941,0,0.0,0,546,352.46661950429194,357.10635234335086,0.30366186423754327,241,0,0,failed,geolife,False,20a27a3d0648033d128cbccaefdc7b6db162a3526210117d84492635c5718604,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w03,23,down_step,fixed_envelope,1486,780,780,0.5248990578734859,0.5248990578734859,0,0.0,0,0,586.2069958211545,545.0920132236206,0.6988359143892572,0,0,0,ok,geolife,False,7608ed91613611d6b8015bedddf3ad70cff4f7bb4558c17b77d653b6365d650b,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w03,23,down_step,frozen_point,1486,1169,974,0.7866756393001346,0.6554508748317631,195,0.16680923866552608,0,0,447.2318446928079,427.1626465744177,0.36540859416117855,0,0,0,failed,geolife,False,cf0862a710ab71ee52bb7e123b6e02f84f5b55f064981cbc925bd5622da6cbc5,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w03,23,stable,fixed_envelope,1486,780,780,0.5248990578734859,0.5248990578734859,0,0.0,0,0,585.8195377784804,565.6381525016307,0.7251771185918342,0,0,0,ok,geolife,False,7608ed91613611d6b8015bedddf3ad70cff4f7bb4558c17b77d653b6365d650b,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w03,23,stable,frozen_point,1486,1169,1169,0.7866756393001346,0.7866756393001346,0,0.0,0,0,446.5160801343585,446.5160801343585,0.3819641404057814,0,0,0,ok,geolife,False,cf0862a710ab71ee52bb7e123b6e02f84f5b55f064981cbc925bd5622da6cbc5,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w03,23,up_step,fixed_envelope,1486,780,780,0.5248990578734859,0.5248990578734859,0,0.0,0,0,585.651519036705,574.732694217591,0.7368367874584499,0,0,0,ok,geolife,False,7608ed91613611d6b8015bedddf3ad70cff4f7bb4558c17b77d653b6365d650b,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w03,23,up_step,frozen_point,1486,1169,1169,0.7866756393001346,0.7866756393001346,0,0.0,0,562,446.327321266512,451.901351345421,0.3865708736915492,242,0,0,failed,geolife,False,cf0862a710ab71ee52bb7e123b6e02f84f5b55f064981cbc925bd5622da6cbc5,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w04,2,down_step,fixed_envelope,1084,576,576,0.5313653136531366,0.5313653136531366,0,0.0,0,0,312.527374021995,290.5716797494356,0.5044647217872146,0,0,0,ok,geolife,False,fc694f03bb9b6ffc3e1270b25542e6378e8f25cba62e636893cc88fea8f1a270,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w04,2,down_step,frozen_point,1084,855,698,0.7887453874538746,0.6439114391143912,157,0.18362573099415205,0,0,226.0967250502941,214.63816620227823,0.2510387908798576,0,0,0,failed,geolife,False,dbf822e22c392a718623560e85cf2356863d381839e61bf10080a5847a5fa470,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
