scenario,seed,phase,design_reserve_MOI,design_reserve_PASI,execution_settlement_MOI,execution_settlement_PASI,assigned_MOI,assigned_PASI,tasks_MOI,tasks_PASI,coverage_MOI,coverage_PASI,mean_selected_H_MOI,mean_selected_H_PASI,mean_selected_lambda_MOI,mean_selected_lambda_PASI,design_reserve_saving_pct,execution_settlement_saving_pct,coverage_diff_pp
dynamic,8,Early,4606.998844960806,4059.5342923485905,4608.82775874726,4059.5342923485905,7154.0,7154.0,8544.0,8544.0,0.837312734082397,0.837312734082397,0.8335888800065255,0.8331510216027814,1.0116151721951212,0.9143048559319594,11.883322983921285,11.918290184660208,0.0
dynamic,8,Late,7566.964958694967,6441.455155082869,7570.127748798544,6441.455155082869,12953.0,12953.0,15456.0,15456.0,0.8380564182194618,0.8380564182194618,0.9763124325881108,0.9764162584992017,0.9646468868388459,0.8368934276174906,14.873992542000725,14.909558083677076,0.0
dynamic,8,Middle,6221.930236399858,5332.5084358922295,6224.577924326037,5332.5084358922295,10040.0,10040.0,12000.0,12000.0,0.8366666666666667,0.8366666666666667,0.9758720622423882,0.975661087771257,1.0024354096838841,0.8780530620670476,14.294949745728214,14.3314052660108,0.0
dynamic,9,Early,4363.131689783239,3823.2067765090364,4364.91886074754,3823.2067765090364,7148.0,7148.0,8544.0,8544.0,0.8366104868913857,0.8366104868913857,0.8361452078565356,0.8360742489161389,0.9690484932951652,0.8722443462076015,12.374710452551717,12.410587722717237,0.0
dynamic,9,Late,7522.549037149426,6327.511753452903,7525.646296821713,6327.511753452903,12960.0,12960.0,15456.0,15456.0,0.8385093167701864,0.8385093167701864,0.9763866637368982,0.9762075836649192,0.9569945358756338,0.8252266307434574,15.886068376489671,15.920686358523328,0.0
dynamic,9,Middle,5782.192918710364,4893.770653726998,5784.690114872955,4893.770653726998,10004.0,10004.0,12000.0,12000.0,0.8336666666666667,0.8336666666666667,0.974723887623962,0.9743899397076837,0.9469247780651185,0.822619698249753,15.364798052803753,15.401334271222645,0.0
dynamic,10,Early,4565.999250604748,4016.89692451251,4568.0715707506715,4016.89692451251,7074.0,7074.0,8544.0,8544.0,0.8279494382022472,0.8279494382022472,0.8263692482456066,0.8259602471641474,0.9997734864233754,0.9081589109588704,12.025896106301637,12.065805837354404,0.0
dynamic,10,Late,7592.056674222038,6382.419666016677,7596.144228832361,6382.419666016677,12937.0,12937.0,15456.0,15456.0,0.8370212215320911,0.8370212215320911,0.9750856109780324,0.9753715269769666,0.9749694175113444,0.8474556127058563,15.93292911409032,15.978166372997515,0.0
dynamic,10,Middle,6049.899775170214,5130.659918019067,6053.008668887223,5130.659918019067,9965.0,9965.0,12000.0,12000.0,0.8304166666666667,0.8304166666666667,0.9741993345307433,0.9741971386821748,0.9854962534170091,0.865525778946998,15.194298935725492,15.237856103016611,0.0
dynamic,11,Early,4438.096473955971,3887.372383074034,4439.958758508648,3887.372383074034,7035.0,7035.0,8544.0,8544.0,0.8233848314606742,0.8233848314606742,0.8267087881736057,0.8266336769389917,0.9341909397065851,0.840508960910606,12.409015759656072,12.445754690303112,0.0
dynamic,11,Late,7402.675288307629,6156.1373036540945,7405.952827071338,6156.1373036540945,12929.0,12929.0,15456.0,15456.0,0.8365036231884058,0.8365036231884058,0.9759427428274633,0.9756123692866102,0.8912755793533172,0.7623561178932271,16.83902016643112,16.875823443659165,0.0
dynamic,11,Middle,6008.143407703291,5068.685655990836,6010.6932447838735,5068.685655990836,10009.0,10009.0,12000.0,12000.0,0.8340833333333333,0.8340833333333333,0.9748541620212,0.974332399621322,0.9087863272308447,0.788632899461194,15.63640692244359,15.672195376307375,0.0
dynamic,12,Early,4434.255930310057,3855.855836254982,4436.530019924917,3855.855836254982,7128.0,7128.0,8544.0,8544.0,0.8342696629213483,0.8342696629213483,0.8285540958236909,0.8279497698564302,0.965636273562879,0.8670069990426092,13.043904166682395,13.088476378206993,0.0
dynamic,12,Late,7213.6228138330125,5945.04469626237,7217.905267229184,5945.04469626237,12948.0,12948.0,15456.0,15456.0,0.8377329192546584,0.8377329192546584,0.974298417736484,0.9745561606644831,0.9186656080196874,0.7859335257258964,17.5858670505753,17.634764157211514,0.0
dynamic,12,Middle,5766.339935686279,4796.008976277222,5769.972539887482,4796.008976277222,10048.0,10048.0,12000.0,12000.0,0.8373333333333334,0.8373333333333334,0.9735593126666834,0.9735013198867748,0.9307967778647751,0.8038516215747716,16.827501850939232,16.879864797922462,0.0
dynamic,13,Early,4463.097232426111,3914.529597507418,4464.7018167497245,3914.529597507418,7088.0,7088.0,8544.0,8544.0,0.8295880149812734,0.8295880149812734,0.8295640553114003,0.8286913342629821,0.9730529260985082,0.878067178979994,12.291187181250251,12.322709148868272,0.0
dynamic,13,Late,7593.512148155082,6385.9303234055305,7597.170782729124,6385.9303234055305,13002.0,13002.0,15456.0,15456.0,0.8412267080745341,0.8412267080745341,0.9771843837012881,0.9768333820370159,0.9541510928459501,0.8245157864573995,15.90281020414177,15.94330960779693,0.0
dynamic,13,Middle,6032.849568683214,5111.212117120089,6035.589194077737,5111.212117120089,9991.0,9991.0,12000.0,12000.0,0.8325833333333333,0.8325833333333333,0.975470893740405,0.9748293290027017,0.9654210573339653,0.8413204034330725,15.27698380459187,15.315440584734773,0.0
dynamic,14,Early,4756.448465768154,4267.985465835467,4759.0130434065795,4267.985465835467,7084.0,7084.0,8544.0,8544.0,0.829119850187266,0.829119850187266,0.8362652188921553,0.8363017514616564,1.0153596542013539,0.9333565085758919,10.26949000810422,10.31784475252514,0.0
dynamic,14,Late,7943.318362077956,6885.65878331271,7947.676792867705,6885.65878331271,12853.0,12853.0,15456.0,15456.0,0.8315864389233955,0.8315864389233955,0.975337149997671,0.9760954915246399,0.9995049507728614,0.8911013949631186,13.315084836767955,13.362622024439364,0.0
dynamic,14,Middle,6393.2109823561805,5578.95075062714,6396.859001541967,5578.95075062714,10027.0,10027.0,12000.0,12000.0,0.8355833333333333,0.8355833333333333,0.9748334851325129,0.9747870462177868,1.004581073014076,0.9012542059623806,12.736326612342609,12.786091591477467,0.0
dynamic,15,Early,4520.732278125013,4015.448361030277,4522.703543730867,4015.448361030277,7133.0,7133.0,8544.0,8544.0,0.8348548689138576,0.8348548689138576,0.8320317106062808,0.8315614602774456,0.9677250630368888,0.8827612753290405,11.177036949073749,11.215751326520628,0.0
dynamic,15,Late,7288.514232029357,6216.315732948936,7292.092784835935,6216.315732948936,12887.0,12887.0,15456.0,15456.0,0.833786231884058,0.833786231884058,0.975640849550947,0.9752559158177118,0.9282807348200819,0.813771087285467,14.710796534753923,14.752651723303645,0.0
