scenario,method,seed,phase,slot_start,slot_end,mean_selected_H,median_selected_H,mean_selected_lambda,design_reserve,execution_settlement,assigned,tasks,coverage
stationary,MOI,21,Early,1,100,0.8398172994447816,0.93849539349753,1.0226450594536147,4579.8092727167,4581.555712330563,6771,8000,0.846375
stationary,MOI,21,Middle,301,500,0.9743917872507526,0.9819377424905692,1.0191648980185064,9176.364178329131,9180.467831068147,13534,16000,0.845875
stationary,MOI,21,Late,701,1000,0.9762334404697129,0.9821998800628741,1.0192810442602867,13760.4979849122,13766.618989152938,20335,24000,0.8472916666666667
stationary,MOI,23,Early,1,100,0.8348265670621259,0.9345473527881719,1.0041100246526429,4465.902989935337,4467.8617695661105,6769,8000,0.846125
stationary,MOI,23,Middle,301,500,0.9745853809008678,0.9823624361178507,1.0204314480949057,9112.872236023068,9117.701565881394,13486,16000,0.842875
stationary,MOI,23,Late,701,1000,0.9757298889349413,0.9831533332197255,1.0225199695876988,13732.592226347044,13739.786811948083,20240,24000,0.8433333333333334
stationary,PASI,21,Early,1,100,0.840346338363253,0.9376897848338998,0.9231017857972218,4013.6784239395865,4013.6784239395865,6771,8000,0.846375
stationary,PASI,21,Middle,301,500,0.9744261835984862,0.983608083122585,0.9051082347091819,7869.81513358378,7869.81513358378,13534,16000,0.845875
stationary,PASI,21,Late,701,1000,0.9761038319700304,0.9838740480630975,0.9052294475312054,11797.366782108376,11797.366782108376,20335,24000,0.8472916666666667
stationary,MOI,22,Early,1,100,0.8273278144960815,0.9249793911067269,1.0171989035210698,4376.608467336978,4378.415145955246,6787,8000,0.848375
stationary,MOI,22,Middle,301,500,0.9739250503353388,0.9815760038679845,1.0164001991624063,8685.347903496191,8689.374146361635,13510,16000,0.844375
stationary,MOI,22,Late,701,1000,0.9745639881592209,0.9811214973391997,1.028262597824886,13323.103018191303,13329.184417755763,20271,24000,0.844625
stationary,PASI,22,Early,1,100,0.8266675203606316,0.9208870789806561,0.9214761495820848,3859.5086700176757,3859.5086700176757,6787,8000,0.848375
stationary,PASI,22,Middle,301,500,0.9731195379037709,0.9840263845339638,0.9018872197756934,7483.774382454525,7483.774382454525,13510,16000,0.844375
stationary,PASI,22,Late,701,1000,0.9737528819493975,0.9836909366618928,0.914099282438009,11507.181383838943,11507.181383838943,20271,24000,0.844625
stationary,PASI,23,Early,1,100,0.8349891562098095,0.9355953438643522,0.9086643938362128,3923.4799676136504,3923.4799676136504,6769,8000,0.846125
stationary,PASI,23,Middle,301,500,0.9741251603336747,0.9845305567133554,0.9092699829545898,7850.283374237668,7850.283374237668,13486,16000,0.842875
stationary,PASI,23,Late,701,1000,0.9752612981753723,0.9847539960560716,0.9116068531793504,11838.346615449329,11838.346615449329,20240,24000,0.8433333333333334
stationary,MOI,24,Early,1,100,0.8409497235770158,0.9393717791364533,0.9913560661978349,4304.0837575675205,4306.066447682056,6750,8000,0.84375
stationary,MOI,24,Middle,301,500,0.9774415940921979,0.9836599665759456,1.00482459315774,8823.349073909101,8828.106239891298,13563,16000,0.8476875
stationary,MOI,24,Late,701,1000,0.9788200873436099,0.9836170363362235,0.9937774026083156,12996.245215979867,13003.370226233743,20315,24000,0.8464583333333333
stationary,PASI,25,Early,1,100,0.8419308874393875,0.9418802667159362,0.9163948393728643,3823.868269191205,3823.868269191205,6791,8000,0.848875
stationary,PASI,25,Middle,301,500,0.9777537885868843,0.9862041633101678,0.906857057559812,7492.716929637041,7492.716929637041,13495,16000,0.8434375
stationary,PASI,25,Late,701,1000,0.9783339657556306,0.9861894004096862,0.9051817891216867,11271.372764027768,11271.372764027768,20329,24000,0.8470416666666667
stationary,MOI,26,Early,1,100,0.8280236108555074,0.9289067111611491,1.0286477622262382,4673.943322986481,4675.97369415549,6768,8000,0.846
stationary,MOI,26,Middle,301,500,0.9750766570537944,0.9773772412456143,1.0349671742842497,9368.848013911113,9373.519653853838,13513,16000,0.8445625
stationary,MOI,26,Late,701,1000,0.9759712398986231,0.9779154203931614,1.0405114221185952,14105.274302878464,14112.304806296212,20242,24000,0.8434166666666667
stationary,PASI,24,Early,1,100,0.8399416641817093,0.9375858998526556,0.8872438298476955,3731.5116121360347,3731.5116121360347,6750,8000,0.84375
stationary,PASI,24,Middle,301,500,0.9767051162622595,0.9850820022209765,0.882433207944939,7472.660850642254,7472.660850642254,13563,16000,0.8476875
stationary,PASI,24,Late,701,1000,0.977825705218882,0.9851667389875198,0.871779634744709,10982.69894283084,10982.69894283084,20315,24000,0.8464583333333333
stationary,MOI,25,Early,1,100,0.84220162541798,0.9419034643289154,1.0288221078501114,4446.589812516524,4448.597983240878,6791,8000,0.848875
stationary,MOI,25,Middle,301,500,0.9784621944198871,0.9828499698637506,1.035014918869497,8916.495958849893,8921.234680708143,13495,16000,0.8434375
stationary,MOI,25,Late,701,1000,0.9792547385136885,0.9826642554998192,1.0344201674416744,13415.398185943555,13422.248822555946,20329,24000,0.8470416666666667
stationary,MOI,27,Early,1,100,0.8267814204652211,0.9268124940757259,1.0039566841085685,4439.511005545022,4441.110292635872,6736,8000,0.842
stationary,MOI,27,Middle,301,500,0.9730175702171796,0.9791327256728415,1.0186211132610283,9139.527968991824,9143.394626389343,13499,16000,0.8436875
stationary,MOI,27,Late,701,1000,0.9740770516110414,0.9795341307899692,1.0117433804895883,13567.490832065476,13573.338640174396,20286,24000,0.84525
